# Export File Created with QBlade CE v2.0.7.7_beta windows on 19.05.2025 at 19:29:48
	20_7 3D 0.01	20_7 no correction 0.01	20_7 Simulation 0.01	20_7 TipLoss 0.01
	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
	5.0847924e-01	4.4109111e+00	5.0847924e-01	4.5151610e+00	5.0847924e-01	4.4105434e+00	5.0847924e-01	4.5148158e+00
	5.3614223e-01	4.3222742e+00	5.3614223e-01	4.4123588e+00	5.3614223e-01	4.3215842e+00	5.3614223e-01	4.4117122e+00
	5.6385779e-01	4.2172666e+00	5.6385779e-01	4.2953825e+00	5.6385779e-01	4.2160206e+00	5.6385779e-01	4.2942004e+00
	5.9152073e-01	4.0980582e+00	5.9152073e-01	4.1658797e+00	5.9152073e-01	4.0958815e+00	5.9152073e-01	4.1637940e+00
	6.1902624e-01	3.9672720e+00	6.1902624e-01	4.0257225e+00	6.1902624e-01	3.9636433e+00	6.1902624e-01	4.0221601e+00
	6.4626986e-01	3.8281040e+00	6.4626986e-01	3.8788190e+00	6.4626986e-01	3.8221397e+00	6.4626986e-01	3.8730221e+00
	6.7314833e-01	3.6810222e+00	6.7314833e-01	3.7254303e+00	6.7314833e-01	3.6714704e+00	6.7314833e-01	3.7160933e+00
	6.9955963e-01	3.5279162e+00	6.9955963e-01	3.5668657e+00	6.9955963e-01	3.5129793e+00	6.9955963e-01	3.5521951e+00
	7.2540361e-01	3.3715377e+00	7.2540361e-01	3.4055598e+00	7.2540361e-01	3.3488717e+00	7.2540361e-01	3.3832178e+00
	7.5058228e-01	3.2129097e+00	7.5058228e-01	3.2429321e+00	7.5058228e-01	3.1789610e+00	7.5058228e-01	3.2093582e+00
	7.7499998e-01	3.0534732e+00	7.7499998e-01	3.0800164e+00	7.7499998e-01	3.0035717e+00	7.7499998e-01	3.0305283e+00
	7.9856426e-01	2.8952739e+00	7.9856426e-01	2.9187016e+00	7.9856426e-01	2.8235600e+00	7.9856426e-01	2.8474312e+00
	8.2118559e-01	2.7603803e+00	8.2118559e-01	2.7603803e+00	8.2118559e-01	2.6589501e+00	8.2118559e-01	2.6589501e+00
	8.4277821e-01	2.6059988e+00	8.4277821e-01	2.6059988e+00	8.4277821e-01	2.4638357e+00	8.4277821e-01	2.4638357e+00
	8.6326027e-01	2.4567683e+00	8.6326027e-01	2.4567683e+00	8.6326027e-01	2.2602944e+00	8.6326027e-01	2.2602944e+00
	8.8255399e-01	2.3138020e+00	8.8255399e-01	2.3138020e+00	8.8255399e-01	2.0462036e+00	8.8255399e-01	2.0462036e+00
	9.0058625e-01	2.1782939e+00	9.0058625e-01	2.1782939e+00	9.0058625e-01	1.8242593e+00	9.0058625e-01	1.8242593e+00
	9.1728860e-01	2.0512462e+00	9.1728860e-01	2.0512462e+00	9.1728860e-01	1.5874735e+00	9.1728860e-01	1.5874735e+00
	9.3259770e-01	1.9353486e+00	9.3259770e-01	1.9353486e+00	9.3259770e-01	1.3352526e+00	9.3259770e-01	1.3352526e+00
	9.4645548e-01	1.8307488e+00	9.4645548e-01	1.8307488e+00	9.4645548e-01	1.0611292e+00	9.4645548e-01	1.0611292e+00
	9.5880938e-01	1.7367913e+00	9.5880938e-01	1.7367913e+00	9.5880938e-01	7.6339591e-01	9.5880938e-01	7.6339591e-01
	9.6961248e-01	1.6541038e+00	9.6961248e-01	1.6541038e+00	9.6961248e-01	4.3252844e-01	9.6961248e-01	4.3252844e-01
	9.7882390e-01	1.5832291e+00	9.7882390e-01	1.5832291e+00	9.7882390e-01	6.4191341e-02	9.7882390e-01	6.4191341e-02
	9.8640859e-01	1.5246228e+00	9.8640859e-01	1.5246228e+00	9.8640859e-01	-3.6390075e-01	9.8640859e-01	-3.6390075e-01
	9.9233788e-01	1.4791720e+00	9.9233788e-01	1.4791720e+00	9.9233788e-01	-8.3577609e-01	9.9233788e-01	-8.3577609e-01
	9.9658924e-01	1.4469326e+00	9.9658924e-01	1.4469326e+00	9.9658924e-01	-1.3954015e+00	9.9658924e-01	-1.3954015e+00
	9.9914646e-01	1.4275094e+00	9.9914646e-01	1.4275094e+00	9.9914646e-01	-2.0872588e+00	9.9914646e-01	-2.0872588e+00
