Filename,Cl/Cd Max,A_de,cl,cd
polar_fileah94w301.txt,7.126158806932689,1.0,0.5304,0.07443
polar_fileah95160.txt,23.899657924743444,13.5,1.4672,0.06139
polar_fileapex16.txt,55.44538706256629,7.5,1.0457,0.01886
polar_fileaquilasm.txt,51.38447971781305,7.5,1.1654,0.02268
polar_fileas5045.txt,43.78365149290259,7.5,0.8945,0.02043
polar_fileas5046.txt,42.24401913875599,7.5,0.8829,0.0209
polar_fileas5048.txt,41.111111111111114,8.5,0.9583,0.02331
polar_fileatr72sm.txt,33.33915320820603,4.0,0.7638,0.02291
polar_fileaugust160.txt,20.757870190439178,0.0,0.5341,0.02573
polar_fileavistar.txt,49.14646996838778,6.5,0.9328,0.01898
polar_filebambino6.txt,41.971496437054626,2.5,0.7068,0.01684
polar_filebe50.txt,60.14373716632444,3.0,0.8787,0.01461
polar_filebe50sm.txt,60.38705137227304,3.5,0.8581,0.01421
polar_filebw3.txt,59.04571428571428,4.0,1.0333,0.0175
